message,label
"Congratulations! You've won a free ticket. Click here to claim.",spam
"Buy cheap products at our store now!",spam
"Hey, are you coming to the meeting today?",normal
"Don't miss this limited offer, buy now!",spam
"Can you send me the report by tomorrow?",normal
"Free money waiting for you, just click the link.",spam
"Let's catch up over coffee this weekend.",normal
"Your account has been compromised, reset your password.",spam
"Are you available for a call?",normal
"Win a brand new car by entering the contest!",spam
"Please review the attached document.",normal
"Get rich quick with this simple trick!",spam
"Looking forward to our collaboration.",normal
"Urgent! Update your billing information now.",spam
"Thanks for your help yesterday.",normal
"Earn thousands of dollars from home!",spam
"Click here to get your free gift card.",spam
"Your subscription has expired, renew now!",spam
"Meeting rescheduled to next week.",normal
"Limited time offer, act fast!",spam
"Can you send me the presentation slides?",normal
"Exclusive deal just for you, don't miss out!",spam
"Happy birthday! Wishing you a great year ahead.",normal
"Warning: Your device is infected, download this tool.",spam
"Let's finalize the project details tomorrow.",normal
"Cheap loans available, apply today!",spam
"Are you joining the team lunch?",normal
"Get your free trial now, no credit card needed.",spam
"Thanks for the update, much appreciated.",normal
"Earn money quickly with this simple method.",spam
